startZeit,o3,no2,pm10,pm25
2025-10-20T00:00:00+02:00,2.75,20.51,16.37,13.84
2025-10-20T01:00:00+02:00,4.65,16.5,15.0,12.37
2025-10-20T02:00:00+02:00,3.91,16.64,14.4,12.38
2025-10-20T03:00:00+02:00,2.88,14.72,14.35,12.19
2025-10-20T04:00:00+02:00,2.74,15.05,14.47,12.2
2025-10-20T05:00:00+02:00,,15.0,19.42,14.76
2025-10-20T06:00:00+02:00,2.68,17.11,19.07,15.82
2025-10-20T07:00:00+02:00,2.92,17.76,20.66,15.8
2025-10-20T08:00:00+02:00,4.75,18.24,22.85,16.47
2025-10-20T09:00:00+02:00,6.42,19.33,23.05,16.71
2025-10-20T10:00:00+02:00,9.58,17.16,28.17,16.22
2025-10-20T11:00:00+02:00,14.44,17.37,19.45,13.1
2025-10-20T12:00:00+02:00,25.17,13.68,27.08,12.99
2025-10-20T13:00:00+02:00,20.55,20.43,29.67,14.3
2025-10-20T14:00:00+02:00,18.23,25.41,31.43,13.75
2025-10-20T15:00:00+02:00,28.42,19.48,22.1,11.74
2025-10-20T16:00:00+02:00,38.85,11.37,27.36,12.34
2025-10-20T17:00:00+02:00,30.35,16.71,17.81,11.57
2025-10-20T18:00:00+02:00,18.0,23.23,17.27,13.21
2025-10-20T19:00:00+02:00,25.06,21.0,12.28,10.03
2025-10-20T20:00:00+02:00,6.43,37.07,15.11,12.54
2025-10-20T21:00:00+02:00,3.09,33.58,16.44,13.95
2025-10-20T22:00:00+02:00,4.19,24.17,15.68,13.16
2025-10-20T23:00:00+02:00,2.65,24.05,14.37,12.27
2025-10-21T00:00:00+02:00,2.28,25.54,14.87,12.65
2025-10-21T01:00:00+02:00,2.18,24.11,15.32,12.21
2025-10-21T02:00:00+02:00,,22.79,12.85,10.69
2025-10-21T03:00:00+02:00,9.25,22.2,10.76,8.71
2025-10-21T04:00:00+02:00,9.42,,9.44,7.86
2025-10-21T05:00:00+02:00,21.49,17.35,7.56,5.7
2025-10-21T06:00:00+02:00,49.45,6.47,4.37,2.47
2025-10-21T07:00:00+02:00,35.68,16.26,13.03,4.41
2025-10-21T08:00:00+02:00,18.45,30.76,27.03,6.78
2025-10-21T09:00:00+02:00,12.41,36.72,23.5,7.01
2025-10-21T10:00:00+02:00,31.74,21.93,11.89,4.54
2025-10-21T11:00:00+02:00,50.1,7.76,4.2,2.07
2025-10-21T12:00:00+02:00,56.26,6.3,4.12,1.76
2025-10-21T13:00:00+02:00,57.9,7.76,5.96,2.72
2025-10-21T14:00:00+02:00,69.15,4.66,4.61,1.44
2025-10-21T15:00:00+02:00,69.93,6.41,5.26,1.4
2025-10-21T16:00:00+02:00,71.43,6.31,5.14,1.26
2025-10-21T17:00:00+02:00,62.19,10.2,4.26,1.69
2025-10-21T18:00:00+02:00,57.98,9.66,4.53,1.86
2025-10-21T19:00:00+02:00,60.74,6.75,2.92,1.36
2025-10-21T20:00:00+02:00,66.68,4.56,1.59,0.84
2025-10-21T21:00:00+02:00,55.48,8.71,2.18,1.27
2025-10-21T22:00:00+02:00,56.7,6.77,2.11,1.37
2025-10-21T23:00:00+02:00,51.48,7.25,2.73,1.91
2025-10-22T00:00:00+02:00,36.87,9.76,2.87,2.05
2025-10-22T01:00:00+02:00,36.0,7.2,2.89,1.78
2025-10-22T02:00:00+02:00,30.36,8.08,3.13,2.04
2025-10-22T03:00:00+02:00,,14.97,3.11,2.03
2025-10-22T04:00:00+02:00,20.14,22.29,3.29,1.95
2025-10-22T05:00:00+02:00,24.92,20.64,9.09,7.83
2025-10-22T06:00:00+02:00,15.21,25.07,4.71,3.19
2025-10-22T07:00:00+02:00,8.26,30.04,7.09,4.73
2025-10-22T08:00:00+02:00,,,82.99,18.86
2025-10-22T09:00:00+02:00,,,53.71,13.01
2025-10-22T10:00:00+02:00,,,14.11,4.69
2025-10-22T11:00:00+02:00,36.97,7.54,2.37,1.37
2025-10-22T12:00:00+02:00,40.47,7.29,1.86,1.05
2025-10-22T13:00:00+02:00,45.99,7.45,3.27,1.3
2025-10-22T14:00:00+02:00,47.92,8.43,3.89,1.54
2025-10-22T15:00:00+02:00,40.25,17.33,9.22,3.31
2025-10-22T16:00:00+02:00,34.21,20.97,9.34,3.4
2025-10-22T17:00:00+02:00,25.76,24.41,9.73,4.21
2025-10-22T18:00:00+02:00,14.08,33.46,6.91,4.08
2025-10-22T19:00:00+02:00,13.25,31.64,7.15,4.55
2025-10-22T20:00:00+02:00,8.01,32.73,7.82,5.55
2025-10-22T21:00:00+02:00,14.3,23.48,8.52,5.46
2025-10-22T22:00:00+02:00,9.28,24.21,8.65,6.38
2025-10-22T23:00:00+02:00,10.36,20.55,9.32,6.45
2025-10-23T00:00:00+02:00,11.09,19.62,9.19,5.65
2025-10-23T01:00:00+02:00,15.14,17.05,7.63,4.69
2025-10-23T02:00:00+02:00,15.2,17.86,7.23,4.38
2025-10-23T03:00:00+02:00,38.31,4.6,3.62,1.6
