startZeit,o3,no2,pm10,pm25
2025-09-15T00:00:00+02:00,45.18,2.2,3.72,2.57
2025-09-15T01:00:00+02:00,42.71,2.59,3.84,2.41
2025-09-15T02:00:00+02:00,,,3.18,1.96
2025-09-15T03:00:00+02:00,42.19,1.8,3.06,1.68
2025-09-15T04:00:00+02:00,36.26,3.02,2.69,1.57
2025-09-15T05:00:00+02:00,31.95,5.37,2.95,1.57
2025-09-15T06:00:00+02:00,35.85,6.39,3.02,1.45
2025-09-15T07:00:00+02:00,20.16,21.07,5.48,2.04
2025-09-15T08:00:00+02:00,17.71,22.23,6.49,2.78
2025-09-15T09:00:00+02:00,35.03,7.12,4.26,1.64
2025-09-15T10:00:00+02:00,40.7,4.33,4.89,1.54
2025-09-15T11:00:00+02:00,44.19,2.88,5.05,1.56
2025-09-15T12:00:00+02:00,51.48,2.56,4.05,1.54
2025-09-15T13:00:00+02:00,57.24,2.69,5.61,1.77
2025-09-15T14:00:00+02:00,60.88,4.48,6.75,1.65
2025-09-15T15:00:00+02:00,67.34,2.82,8.62,1.82
2025-09-15T16:00:00+02:00,65.78,4.86,7.39,2.13
2025-09-15T17:00:00+02:00,69.19,3.16,6.79,2.28
2025-09-15T18:00:00+02:00,63.45,5.08,7.38,2.35
2025-09-15T19:00:00+02:00,46.04,13.69,8.08,3.55
2025-09-15T20:00:00+02:00,44.51,9.97,9.3,3.49
2025-09-15T21:00:00+02:00,52.27,0.87,2.09,1.07
2025-09-15T22:00:00+02:00,59.45,0.6,3.84,1.63
2025-09-15T23:00:00+02:00,57.22,0.98,3.66,2.0
2025-09-16T00:00:00+02:00,54.5,1.05,4.27,2.25
2025-09-16T01:00:00+02:00,61.42,0.47,5.27,2.7
2025-09-16T02:00:00+02:00,67.44,0.47,7.54,3.57
2025-09-16T03:00:00+02:00,,0.65,7.24,3.81
2025-09-16T04:00:00+02:00,63.22,0.9,7.68,3.98
2025-09-16T05:00:00+02:00,63.77,1.18,8.61,4.3
2025-09-16T06:00:00+02:00,60.9,2.95,8.89,4.3
2025-09-16T07:00:00+02:00,55.37,11.25,10.13,4.57
2025-09-16T08:00:00+02:00,57.21,9.51,9.45,4.19
2025-09-16T09:00:00+02:00,60.4,6.41,10.53,4.51
2025-09-16T10:00:00+02:00,66.64,6.04,8.76,3.99
2025-09-16T11:00:00+02:00,72.4,3.38,9.73,3.69
2025-09-16T12:00:00+02:00,75.2,2.44,7.96,3.34
2025-09-16T13:00:00+02:00,79.53,2.58,10.4,3.1
2025-09-16T14:00:00+02:00,79.06,2.47,7.85,2.97
2025-09-16T15:00:00+02:00,77.71,2.18,7.76,2.87
2025-09-16T16:00:00+02:00,72.64,2.92,6.36,2.7
2025-09-16T17:00:00+02:00,68.2,4.87,6.42,2.8
2025-09-16T18:00:00+02:00,64.01,6.6,7.76,2.96
2025-09-16T19:00:00+02:00,62.86,5.59,6.93,3.02
2025-09-16T20:00:00+02:00,59.46,5.9,6.72,3.19
2025-09-16T21:00:00+02:00,61.63,3.32,5.58,3.04
2025-09-16T22:00:00+02:00,59.88,2.95,5.84,3.24
2025-09-16T23:00:00+02:00,56.6,3.65,5.63,3.12
2025-09-17T00:00:00+02:00,52.83,4.16,5.87,3.25
2025-09-17T01:00:00+02:00,50.2,4.29,5.15,3.14
2025-09-17T02:00:00+02:00,51.74,3.99,5.74,3.16
2025-09-17T03:00:00+02:00,53.64,,5.53,3.1
2025-09-17T04:00:00+02:00,,4.8,5.33,3.25
2025-09-17T05:00:00+02:00,44.67,8.2,5.69,3.2
2025-09-17T06:00:00+02:00,39.4,11.22,5.96,3.38
2025-09-17T07:00:00+02:00,31.83,18.01,9.12,4.3
2025-09-17T08:00:00+02:00,38.73,13.52,9.67,3.9
2025-09-17T09:00:00+02:00,46.72,8.95,9.28,3.95
2025-09-17T10:00:00+02:00,57.12,4.52,9.01,3.9
2025-09-17T11:00:00+02:00,62.32,3.63,7.92,3.78
2025-09-17T12:00:00+02:00,67.1,3.12,7.44,3.41
2025-09-17T13:00:00+02:00,69.65,3.86,12.84,4.27
2025-09-17T14:00:00+02:00,74.02,3.6,11.4,3.98
2025-09-17T15:00:00+02:00,75.71,3.54,8.09,3.64
2025-09-17T16:00:00+02:00,78.46,5.02,8.91,3.75
2025-09-17T17:00:00+02:00,80.4,8.36,10.2,4.22
2025-09-17T18:00:00+02:00,75.62,11.21,12.15,4.76
2025-09-17T19:00:00+02:00,66.84,15.27,10.48,4.45
2025-09-17T20:00:00+02:00,44.7,23.52,10.02,4.66
2025-09-17T21:00:00+02:00,27.03,32.07,9.21,4.93
2025-09-17T22:00:00+02:00,27.78,24.84,10.45,5.85
2025-09-17T23:00:00+02:00,28.1,23.57,9.65,5.44
2025-09-18T00:00:00+02:00,29.59,15.79,8.57,5.0
