startZeit,o3,no2,pm10,pm25
2025-10-13T00:00:00+02:00,43.61,9.44,12.55,10.46
2025-10-13T01:00:00+02:00,36.31,8.61,12.34,10.43
2025-10-13T02:00:00+02:00,,10.06,11.24,9.57
2025-10-13T03:00:00+02:00,28.6,10.59,11.28,9.79
2025-10-13T04:00:00+02:00,25.65,,11.19,9.6
2025-10-13T05:00:00+02:00,17.17,15.51,11.96,10.05
2025-10-13T06:00:00+02:00,9.28,22.21,12.24,10.61
2025-10-13T07:00:00+02:00,2.93,29.59,14.7,11.15
2025-10-13T08:00:00+02:00,,27.89,18.33,12.47
2025-10-13T09:00:00+02:00,22.21,18.91,16.52,11.53
2025-10-13T10:00:00+02:00,34.68,12.6,22.31,11.49
2025-10-13T11:00:00+02:00,35.2,12.12,15.38,10.21
2025-10-13T12:00:00+02:00,46.27,7.61,20.5,10.77
2025-10-13T13:00:00+02:00,47.36,10.26,20.04,11.18
2025-10-13T14:00:00+02:00,44.63,10.62,16.65,10.86
2025-10-13T15:00:00+02:00,47.09,8.66,20.76,10.16
2025-10-13T16:00:00+02:00,46.63,10.43,12.19,8.57
2025-10-13T17:00:00+02:00,43.13,11.76,14.49,8.64
2025-10-13T18:00:00+02:00,43.45,12.96,11.83,8.04
2025-10-13T19:00:00+02:00,39.37,16.24,9.1,6.53
2025-10-13T20:00:00+02:00,36.82,17.28,8.6,6.13
2025-10-13T21:00:00+02:00,37.73,14.85,9.06,6.32
2025-10-13T22:00:00+02:00,42.55,9.15,10.03,7.14
2025-10-13T23:00:00+02:00,42.41,9.43,7.91,5.91
2025-10-14T00:00:00+02:00,42.72,7.64,7.3,5.81
2025-10-14T01:00:00+02:00,46.93,4.96,6.93,5.59
2025-10-14T02:00:00+02:00,47.2,4.8,7.01,5.33
2025-10-14T03:00:00+02:00,,6.69,5.99,5.01
2025-10-14T04:00:00+02:00,44.85,6.85,5.28,4.79
2025-10-14T05:00:00+02:00,41.83,8.6,6.25,4.79
2025-10-14T06:00:00+02:00,36.57,11.89,6.82,5.38
2025-10-14T07:00:00+02:00,37.38,15.26,10.88,5.57
2025-10-14T08:00:00+02:00,40.11,13.6,10.22,5.2
2025-10-14T09:00:00+02:00,40.78,11.97,11.66,5.45
2025-10-14T10:00:00+02:00,,12.25,117.29,16.36
2025-10-14T11:00:00+02:00,46.65,11.23,14.47,5.29
2025-10-14T12:00:00+02:00,53.06,8.5,21.17,5.57
2025-10-14T13:00:00+02:00,52.56,8.98,15.42,5.59
2025-10-14T14:00:00+02:00,59.21,5.93,21.71,6.55
2025-10-14T15:00:00+02:00,62.65,7.21,28.23,8.44
2025-10-14T16:00:00+02:00,63.99,5.26,9.48,5.93
2025-10-14T17:00:00+02:00,59.98,8.36,13.09,6.18
2025-10-14T18:00:00+02:00,42.95,20.98,10.82,6.39
2025-10-14T19:00:00+02:00,17.85,33.58,13.78,9.51
2025-10-14T20:00:00+02:00,7.4,37.15,17.38,12.95
2025-10-14T21:00:00+02:00,10.82,26.12,12.26,9.13
2025-10-14T22:00:00+02:00,14.37,20.58,11.08,8.25
2025-10-14T23:00:00+02:00,9.36,22.53,10.59,8.23
2025-10-15T00:00:00+02:00,12.1,18.92,9.58,7.48
2025-10-15T01:00:00+02:00,12.17,16.13,9.29,7.28
2025-10-15T02:00:00+02:00,11.03,13.47,9.47,7.08
2025-10-15T03:00:00+02:00,12.77,11.43,9.33,7.21
2025-10-15T04:00:00+02:00,,13.08,10.47,8.3
2025-10-15T05:00:00+02:00,14.83,,10.33,7.72
2025-10-15T06:00:00+02:00,16.73,18.11,9.7,7.26
2025-10-15T07:00:00+02:00,7.65,28.47,13.45,8.91
2025-10-15T08:00:00+02:00,6.97,32.96,24.75,12.66
2025-10-15T09:00:00+02:00,10.86,30.43,223.84,46.94
2025-10-15T10:00:00+02:00,22.2,23.96,194.21,40.25
2025-10-15T11:00:00+02:00,43.17,13.5,75.73,19.15
2025-10-15T12:00:00+02:00,52.12,11.39,20.7,9.47
2025-10-15T13:00:00+02:00,62.15,7.58,16.76,8.47
2025-10-15T14:00:00+02:00,66.22,8.28,21.51,8.16
2025-10-15T15:00:00+02:00,69.34,7.64,27.75,8.27
2025-10-15T16:00:00+02:00,64.57,12.75,13.11,6.84
2025-10-15T17:00:00+02:00,66.35,7.96,17.02,7.27
