startZeit,no2,o3,pm10,pm25
2025-11-10T00:00:00+01:00,19.57,8.68,17.46,16.11
2025-11-10T01:00:00+01:00,,,17.23,15.76
2025-11-10T02:00:00+01:00,15.18,13.93,17.19,15.92
2025-11-10T03:00:00+01:00,12.35,19.39,16.14,14.92
2025-11-10T04:00:00+01:00,11.47,22.61,13.08,12.36
2025-11-10T05:00:00+01:00,15.74,19.46,12.06,11.36
2025-11-10T06:00:00+01:00,16.18,19.67,12.26,11.23
2025-11-10T07:00:00+01:00,18.6,11.21,12.1,10.8
2025-11-10T08:00:00+01:00,15.48,13.82,12.72,11.13
2025-11-10T09:00:00+01:00,13.92,24.58,12.8,11.05
2025-11-10T10:00:00+01:00,14.68,27.43,10.66,8.98
2025-11-10T11:00:00+01:00,14.59,31.27,9.75,8.21
2025-11-10T12:00:00+01:00,13.64,33.12,9.32,7.61
2025-11-10T13:00:00+01:00,13.63,33.52,11.29,8.23
2025-11-10T14:00:00+01:00,12.87,36.47,11.77,8.52
2025-11-10T15:00:00+01:00,12.58,35.55,10.61,8.24
2025-11-10T16:00:00+01:00,12.2,37.34,10.22,8.2
2025-11-10T17:00:00+01:00,12.8,37.9,11.28,9.32
2025-11-10T18:00:00+01:00,14.07,32.82,12.61,10.62
2025-11-10T19:00:00+01:00,12.26,35.45,12.97,10.93
2025-11-10T20:00:00+01:00,11.01,35.24,12.01,10.29
2025-11-10T21:00:00+01:00,13.5,29.41,12.87,11.5
2025-11-10T22:00:00+01:00,21.11,14.12,14.55,12.94
2025-11-10T23:00:00+01:00,24.64,2.02,16.26,14.08
2025-11-11T00:00:00+01:00,18.37,7.39,16.19,13.69
2025-11-11T01:00:00+01:00,13.6,9.02,15.24,13.34
2025-11-11T02:00:00+01:00,17.39,,16.06,14.09
2025-11-11T03:00:00+01:00,20.86,1.2,14.91,13.41
2025-11-11T04:00:00+01:00,18.14,0.61,14.98,12.99
2025-11-11T05:00:00+01:00,17.44,0.83,15.53,13.09
2025-11-11T06:00:00+01:00,18.93,0.79,15.44,13.56
2025-11-11T07:00:00+01:00,20.23,1.77,21.6,15.62
2025-11-11T08:00:00+01:00,18.8,1.84,22.67,15.71
2025-11-11T09:00:00+01:00,19.13,3.9,23.35,15.69
2025-11-11T10:00:00+01:00,18.15,11.57,18.0,12.63
2025-11-11T11:00:00+01:00,14.02,19.02,22.12,11.95
2025-11-11T12:00:00+01:00,18.7,19.17,18.29,11.91
2025-11-11T13:00:00+01:00,19.84,22.45,16.99,11.3
