startZeit,o3,no2,pm10,pm25
2025-07-07T00:00:00+02:00,77.45,1.65,7.22,2.7
2025-07-07T01:00:00+02:00,71.65,4.08,6.48,2.81
2025-07-07T02:00:00+02:00,68.24,3.28,6.95,2.91
2025-07-07T03:00:00+02:00,70.95,,6.05,3.25
2025-07-07T04:00:00+02:00,,2.21,5.11,3.31
2025-07-07T05:00:00+02:00,76.27,2.37,4.94,3.22
2025-07-07T06:00:00+02:00,70.09,4.31,5.02,3.17
2025-07-07T07:00:00+02:00,56.86,9.25,7.57,3.64
2025-07-07T08:00:00+02:00,55.6,8.1,8.59,3.54
2025-07-07T09:00:00+02:00,57.75,6.38,11.34,3.21
2025-07-07T10:00:00+02:00,51.95,8.07,15.48,3.93
2025-07-07T11:00:00+02:00,54.32,5.89,12.11,3.83
2025-07-07T12:00:00+02:00,56.52,4.28,4.48,2.17
2025-07-07T13:00:00+02:00,58.37,3.73,9.21,3.1
2025-07-07T14:00:00+02:00,62.98,2.38,8.46,3.01
2025-07-07T15:00:00+02:00,65.06,3.73,10.57,3.58
2025-07-07T16:00:00+02:00,64.76,3.03,7.86,2.77
2025-07-07T17:00:00+02:00,58.56,2.92,2.84,1.38
2025-07-07T18:00:00+02:00,51.57,3.58,3.73,1.63
2025-07-07T19:00:00+02:00,46.77,4.24,3.44,1.71
2025-07-07T20:00:00+02:00,43.08,3.7,3.37,1.73
2025-07-07T21:00:00+02:00,40.44,4.12,3.24,1.7
2025-07-07T22:00:00+02:00,40.61,3.33,3.95,1.8
2025-07-07T23:00:00+02:00,44.04,1.58,3.72,1.42
2025-07-08T00:00:00+02:00,46.7,0.94,2.34,0.95
2025-07-08T01:00:00+02:00,44.29,1.12,2.8,0.98
2025-07-08T02:00:00+02:00,43.26,1.16,2.28,0.91
2025-07-08T03:00:00+02:00,46.8,0.96,1.76,0.76
2025-07-08T04:00:00+02:00,44.74,1.11,2.73,0.94
2025-07-08T05:00:00+02:00,,2.17,2.84,1.21
2025-07-08T06:00:00+02:00,46.62,5.27,4.45,2.47
2025-07-08T07:00:00+02:00,50.67,8.11,4.55,2.94
2025-07-08T08:00:00+02:00,50.99,9.61,5.62,2.91
2025-07-08T09:00:00+02:00,48.52,9.91,5.74,3.32
2025-07-08T10:00:00+02:00,57.19,7.29,5.64,3.43
2025-07-08T11:00:00+02:00,59.07,5.7,8.96,4.1
2025-07-08T12:00:00+02:00,55.33,3.14,7.42,3.78
2025-07-08T13:00:00+02:00,63.9,3.19,9.77,4.24
2025-07-08T14:00:00+02:00,68.53,4.7,9.38,4.7
2025-07-08T15:00:00+02:00,74.63,5.42,7.55,3.13
2025-07-08T16:00:00+02:00,74.0,4.7,6.03,1.89
2025-07-08T17:00:00+02:00,69.94,4.28,3.57,1.23
2025-07-08T18:00:00+02:00,76.7,3.94,3.53,1.42
2025-07-08T19:00:00+02:00,74.32,3.61,3.89,2.0
2025-07-08T20:00:00+02:00,81.03,2.37,2.93,1.48
2025-07-08T21:00:00+02:00,72.76,4.53,3.22,1.52
2025-07-08T22:00:00+02:00,65.4,4.83,4.15,1.78
2025-07-08T23:00:00+02:00,62.35,5.16,3.56,2.05
2025-07-09T00:00:00+02:00,59.42,5.18,4.55,2.26
2025-07-09T01:00:00+02:00,60.67,4.45,4.23,2.28
2025-07-09T02:00:00+02:00,,3.52,3.74,2.31
2025-07-09T03:00:00+02:00,59.1,3.22,4.28,2.37
2025-07-09T04:00:00+02:00,56.59,,4.29,2.39
2025-07-09T05:00:00+02:00,57.71,3.52,4.09,2.42
2025-07-09T06:00:00+02:00,57.68,5.0,4.64,2.71
2025-07-09T07:00:00+02:00,53.13,9.22,5.85,3.01
2025-07-09T08:00:00+02:00,54.61,8.26,10.03,4.18
2025-07-09T09:00:00+02:00,73.64,2.56,7.6,4.02
2025-07-09T10:00:00+02:00,77.54,2.51,7.54,4.26
2025-07-09T11:00:00+02:00,77.84,3.33,8.81,4.29
2025-07-09T12:00:00+02:00,84.81,2.08,6.89,3.97
2025-07-09T13:00:00+02:00,85.73,3.03,7.9,3.99
2025-07-09T14:00:00+02:00,87.62,2.86,8.17,4.11
2025-07-09T15:00:00+02:00,88.84,3.11,7.62,3.92
2025-07-09T16:00:00+02:00,92.24,3.19,7.39,3.75
2025-07-09T17:00:00+02:00,97.01,3.36,7.1,4.03
2025-07-09T18:00:00+02:00,96.65,6.35,7.33,4.3
2025-07-09T19:00:00+02:00,94.86,7.13,7.18,4.16
2025-07-09T20:00:00+02:00,95.88,4.67,6.51,4.04
2025-07-09T21:00:00+02:00,86.19,7.94,7.92,4.76
2025-07-09T22:00:00+02:00,70.96,11.47,7.49,5.13
2025-07-09T23:00:00+02:00,51.55,16.47,8.74,6.04
2025-07-10T00:00:00+02:00,52.23,11.68,7.76,5.22
2025-07-10T01:00:00+02:00,42.13,12.41,7.45,4.75
2025-07-10T02:00:00+02:00,34.18,12.88,8.17,5.01
2025-07-10T03:00:00+02:00,,12.95,7.25,4.87
2025-07-10T04:00:00+02:00,26.35,13.74,7.59,5.03
2025-07-10T05:00:00+02:00,23.64,13.51,8.09,5.18
2025-07-10T06:00:00+02:00,19.01,17.73,9.0,5.72
2025-07-10T07:00:00+02:00,32.97,16.05,11.36,6.16
2025-07-10T08:00:00+02:00,46.42,6.93,7.08,4.27
2025-07-10T09:00:00+02:00,50.1,6.33,7.03,4.46
2025-07-10T10:00:00+02:00,58.78,5.84,9.73,4.79
2025-07-10T11:00:00+02:00,77.89,5.06,8.9,4.84
2025-07-10T12:00:00+02:00,89.03,4.34,9.1,4.74
2025-07-10T13:00:00+02:00,93.97,2.78,7.95,3.99
2025-07-10T14:00:00+02:00,94.89,3.69,9.19,3.73
2025-07-10T15:00:00+02:00,95.34,4.7,9.41,3.67
2025-07-10T16:00:00+02:00,101.53,3.16,7.08,3.64
2025-07-10T17:00:00+02:00,103.59,3.86,7.74,3.72
2025-07-10T18:00:00+02:00,104.38,3.6,8.36,3.89
2025-07-10T19:00:00+02:00,102.19,7.07,7.08,3.82
2025-07-10T20:00:00+02:00,97.53,10.12,6.88,3.84
2025-07-10T21:00:00+02:00,79.93,13.93,8.01,4.73
2025-07-10T22:00:00+02:00,56.85,23.23,9.92,5.47
2025-07-10T23:00:00+02:00,66.53,12.98,10.23,5.11
2025-07-11T00:00:00+02:00,63.59,9.34,9.12,4.77
2025-07-11T01:00:00+02:00,48.16,14.9,7.69,4.99
2025-07-11T02:00:00+02:00,50.7,9.72,7.79,4.69
2025-07-11T03:00:00+02:00,45.07,8.7,7.84,4.99
2025-07-11T04:00:00+02:00,,9.16,8.38,5.27
2025-07-11T05:00:00+02:00,39.31,,9.12,5.8
2025-07-11T06:00:00+02:00,32.53,16.5,10.4,6.17
2025-07-11T07:00:00+02:00,40.64,17.85,13.61,7.46
2025-07-11T08:00:00+02:00,60.26,12.21,12.32,7.55
2025-07-11T09:00:00+02:00,69.05,11.01,13.51,7.45
2025-07-11T10:00:00+02:00,83.49,12.56,21.63,8.46
2025-07-11T11:00:00+02:00,98.56,14.44,14.91,8.07
2025-07-11T12:00:00+02:00,109.85,12.3,15.61,6.67
2025-07-11T13:00:00+02:00,122.36,4.72,11.5,6.03
2025-07-11T14:00:00+02:00,118.18,3.57,12.08,5.33
2025-07-11T15:00:00+02:00,115.91,3.61,8.92,4.67
2025-07-11T16:00:00+02:00,110.78,2.59,9.76,4.42
2025-07-11T17:00:00+02:00,103.44,3.99,8.9,4.16
2025-07-11T18:00:00+02:00,104.98,3.53,10.65,4.59
2025-07-11T19:00:00+02:00,95.43,8.79,8.66,4.43
2025-07-11T20:00:00+02:00,91.06,6.01,11.37,5.46
2025-07-11T21:00:00+02:00,66.18,11.46,12.38,7.51
2025-07-11T22:00:00+02:00,57.08,10.74,10.35,6.07
