startZeit,o3,no2,pm10,pm25
2025-10-06T00:00:00+02:00,49.91,3.93,3.95,2.21
2025-10-06T01:00:00+02:00,53.99,3.0,2.29,1.63
2025-10-06T02:00:00+02:00,47.85,2.95,3.11,1.91
2025-10-06T03:00:00+02:00,,3.22,2.9,2.05
2025-10-06T04:00:00+02:00,50.12,2.75,3.09,2.04
2025-10-06T05:00:00+02:00,47.02,4.02,2.35,1.56
2025-10-06T06:00:00+02:00,46.39,4.38,2.46,1.67
2025-10-06T07:00:00+02:00,40.32,9.88,4.04,2.11
2025-10-06T08:00:00+02:00,41.67,9.36,4.81,2.35
2025-10-06T09:00:00+02:00,38.52,8.89,5.08,2.87
2025-10-06T10:00:00+02:00,35.98,10.88,6.07,3.45
2025-10-06T11:00:00+02:00,38.07,10.91,9.08,3.85
2025-10-06T12:00:00+02:00,44.82,9.24,7.08,3.76
2025-10-06T13:00:00+02:00,53.01,6.83,7.33,3.68
2025-10-06T14:00:00+02:00,55.6,7.47,14.69,4.42
2025-10-06T15:00:00+02:00,58.26,8.57,13.36,5.14
2025-10-06T16:00:00+02:00,58.33,7.05,8.68,3.79
2025-10-06T17:00:00+02:00,50.64,11.87,6.74,3.74
2025-10-06T18:00:00+02:00,49.75,13.22,8.42,3.91
2025-10-06T19:00:00+02:00,52.21,10.17,7.6,4.08
2025-10-06T20:00:00+02:00,45.31,9.85,8.1,4.75
2025-10-06T21:00:00+02:00,40.74,10.69,7.73,4.87
2025-10-06T22:00:00+02:00,35.55,11.15,7.08,4.64
2025-10-06T23:00:00+02:00,36.22,10.21,7.19,4.75
2025-10-07T00:00:00+02:00,38.95,6.81,6.15,4.32
2025-10-07T01:00:00+02:00,37.58,5.71,6.37,4.26
2025-10-07T02:00:00+02:00,33.77,6.69,6.59,4.6
2025-10-07T03:00:00+02:00,29.0,8.47,6.62,4.75
2025-10-07T04:00:00+02:00,,13.37,6.29,4.62
2025-10-07T05:00:00+02:00,18.6,,6.36,4.62
2025-10-07T06:00:00+02:00,13.18,17.97,7.1,4.74
2025-10-07T07:00:00+02:00,3.52,29.84,9.7,5.93
2025-10-07T08:00:00+02:00,6.32,28.86,16.66,6.75
2025-10-07T09:00:00+02:00,26.29,18.77,22.08,6.39
2025-10-07T10:00:00+02:00,33.08,15.36,10.28,4.24
2025-10-07T11:00:00+02:00,39.99,13.87,11.84,4.61
2025-10-07T12:00:00+02:00,56.95,5.66,7.69,3.91
2025-10-07T13:00:00+02:00,55.32,7.5,13.77,4.68
2025-10-07T14:00:00+02:00,61.44,8.4,33.75,6.63
2025-10-07T15:00:00+02:00,63.85,7.76,27.14,5.97
2025-10-07T16:00:00+02:00,66.51,6.27,11.34,3.43
2025-10-07T17:00:00+02:00,63.31,9.45,23.49,5.09
2025-10-07T18:00:00+02:00,42.84,29.68,5.13,2.64
2025-10-07T19:00:00+02:00,22.76,40.64,5.78,4.18
2025-10-07T20:00:00+02:00,2.98,42.4,10.75,7.75
2025-10-07T21:00:00+02:00,2.39,34.43,12.13,9.06
2025-10-07T22:00:00+02:00,2.66,31.58,13.27,10.71
2025-10-07T23:00:00+02:00,2.55,27.13,13.55,10.46
2025-10-08T00:00:00+02:00,7.49,17.96,6.92,4.91
2025-10-08T01:00:00+02:00,6.22,15.52,5.58,3.6
2025-10-08T02:00:00+02:00,6.1,14.51,5.95,3.73
2025-10-08T03:00:00+02:00,3.48,16.5,5.03,3.68
2025-10-08T04:00:00+02:00,6.06,12.76,6.39,4.3
2025-10-08T05:00:00+02:00,,12.91,7.06,4.98
2025-10-08T06:00:00+02:00,7.9,11.82,5.98,4.82
2025-10-08T07:00:00+02:00,2.76,21.02,9.98,6.53
2025-10-08T08:00:00+02:00,8.77,15.41,12.51,6.77
2025-10-08T09:00:00+02:00,12.78,12.21,9.77,6.77
2025-10-08T10:00:00+02:00,20.29,10.08,10.04,7.05
2025-10-08T11:00:00+02:00,25.67,7.34,10.0,7.19
2025-10-08T12:00:00+02:00,32.64,5.43,9.5,7.15
