startZeit,o3,no2,pm10,pm25
2025-07-21T00:00:00+02:00,60.74,1.94,4.51,3.08
2025-07-21T01:00:00+02:00,56.35,1.76,4.7,2.93
2025-07-21T02:00:00+02:00,,,3.99,2.57
2025-07-21T03:00:00+02:00,57.72,1.0,4.31,2.72
2025-07-21T04:00:00+02:00,48.24,5.52,4.55,2.57
2025-07-21T05:00:00+02:00,50.09,3.41,3.89,2.39
2025-07-21T06:00:00+02:00,51.8,3.68,4.37,2.28
2025-07-21T07:00:00+02:00,46.79,5.35,4.1,2.47
2025-07-21T08:00:00+02:00,42.96,13.66,5.82,2.45
2025-07-21T09:00:00+02:00,64.15,8.28,5.72,2.58
2025-07-21T10:00:00+02:00,75.7,6.62,7.62,2.75
2025-07-21T11:00:00+02:00,84.91,7.07,5.85,2.22
2025-07-21T12:00:00+02:00,85.21,5.15,3.62,1.8
2025-07-21T13:00:00+02:00,94.1,2.98,4.51,1.83
2025-07-21T14:00:00+02:00,96.29,8.38,4.03,1.65
2025-07-21T15:00:00+02:00,97.0,6.65,3.91,1.62
2025-07-21T16:00:00+02:00,85.09,5.72,6.24,2.89
2025-07-21T17:00:00+02:00,76.74,6.87,4.92,2.78
2025-07-21T18:00:00+02:00,75.51,8.44,4.57,2.75
2025-07-21T19:00:00+02:00,72.82,3.88,5.18,2.94
2025-07-21T20:00:00+02:00,67.28,4.49,5.11,2.85
2025-07-21T21:00:00+02:00,58.07,7.06,6.39,3.78
2025-07-21T22:00:00+02:00,52.3,5.55,4.74,3.24
2025-07-21T23:00:00+02:00,40.09,11.91,5.65,3.42
2025-07-22T00:00:00+02:00,42.75,7.79,5.82,3.35
2025-07-22T01:00:00+02:00,47.48,2.15,5.06,2.53
2025-07-22T02:00:00+02:00,58.86,0.82,4.86,1.86
2025-07-22T03:00:00+02:00,,2.42,4.42,1.87
2025-07-22T04:00:00+02:00,48.53,1.88,4.65,1.97
2025-07-22T05:00:00+02:00,62.92,1.2,2.75,1.46
2025-07-22T06:00:00+02:00,59.43,2.28,2.97,1.43
2025-07-22T07:00:00+02:00,54.48,4.79,3.53,1.67
2025-07-22T08:00:00+02:00,52.94,4.87,4.22,1.82
2025-07-22T09:00:00+02:00,54.23,3.23,5.13,2.04
2025-07-22T10:00:00+02:00,58.15,2.52,5.0,2.1
2025-07-22T11:00:00+02:00,63.5,1.23,5.21,1.93
2025-07-22T12:00:00+02:00,67.37,1.22,4.21,1.83
2025-07-22T13:00:00+02:00,68.05,2.1,5.14,2.15
2025-07-22T14:00:00+02:00,71.77,1.69,4.93,2.08
2025-07-22T15:00:00+02:00,75.48,1.32,4.86,2.38
2025-07-22T16:00:00+02:00,76.81,1.83,5.78,2.4
2025-07-22T17:00:00+02:00,79.15,1.44,5.5,2.4
2025-07-22T18:00:00+02:00,79.31,1.21,5.43,2.58
2025-07-22T19:00:00+02:00,78.84,1.52,5.14,2.54
2025-07-22T20:00:00+02:00,75.23,1.74,5.24,2.49
2025-07-22T21:00:00+02:00,65.37,3.88,5.23,2.76
2025-07-22T22:00:00+02:00,61.89,3.51,6.25,2.88
2025-07-22T23:00:00+02:00,59.78,2.31,4.82,2.58
2025-07-23T00:00:00+02:00,59.41,1.81,4.18,2.23
2025-07-23T01:00:00+02:00,58.59,1.63,4.34,2.32
2025-07-23T02:00:00+02:00,55.63,2.2,3.83,2.22
2025-07-23T03:00:00+02:00,55.05,,4.16,2.33
2025-07-23T04:00:00+02:00,,3.95,3.84,2.35
2025-07-23T05:00:00+02:00,42.05,5.93,4.75,2.64
2025-07-23T06:00:00+02:00,30.16,11.97,6.96,3.13
2025-07-23T07:00:00+02:00,29.01,12.71,7.97,3.53
2025-07-23T08:00:00+02:00,41.62,8.43,8.43,3.95
2025-07-23T09:00:00+02:00,57.49,4.56,6.44,3.58
2025-07-23T10:00:00+02:00,72.9,2.53,7.7,3.6
2025-07-23T11:00:00+02:00,77.34,1.74,6.17,3.49
2025-07-23T12:00:00+02:00,81.34,1.69,6.09,3.35
2025-07-23T13:00:00+02:00,87.28,2.35,6.64,3.23
2025-07-23T14:00:00+02:00,93.68,2.8,6.59,3.15
2025-07-23T15:00:00+02:00,96.37,2.94,7.33,3.04
2025-07-23T16:00:00+02:00,99.31,2.85,6.69,3.03
2025-07-23T17:00:00+02:00,97.16,2.37,6.92,2.75
2025-07-23T18:00:00+02:00,98.22,3.98,7.66,2.94
2025-07-23T19:00:00+02:00,85.16,9.81,9.13,3.65
2025-07-23T20:00:00+02:00,79.09,9.22,9.53,3.74
2025-07-23T21:00:00+02:00,65.98,8.53,10.99,4.83
2025-07-23T22:00:00+02:00,63.49,7.64,8.89,4.59
2025-07-23T23:00:00+02:00,57.13,11.56,8.28,4.43
2025-07-24T00:00:00+02:00,47.68,9.01,8.07,4.51
2025-07-24T01:00:00+02:00,47.15,4.54,7.91,4.49
2025-07-24T02:00:00+02:00,42.68,4.69,7.17,4.42
2025-07-24T03:00:00+02:00,48.21,3.35,5.92,3.69
2025-07-24T04:00:00+02:00,46.54,4.69,6.49,4.11
2025-07-24T05:00:00+02:00,,5.52,6.75,4.39
2025-07-24T06:00:00+02:00,34.8,8.83,8.1,4.78
2025-07-24T07:00:00+02:00,35.24,10.48,7.66,5.05
2025-07-24T08:00:00+02:00,37.59,11.51,8.53,5.06
2025-07-24T09:00:00+02:00,41.2,9.2,8.06,4.98
2025-07-24T10:00:00+02:00,52.23,8.03,6.66,4.01
2025-07-24T11:00:00+02:00,63.25,7.35,3.9,2.5
2025-07-24T12:00:00+02:00,75.4,4.88,2.94,2.04
2025-07-24T13:00:00+02:00,73.21,5.52,3.33,2.11
2025-07-24T14:00:00+02:00,71.64,7.79,8.4,2.96
2025-07-24T15:00:00+02:00,75.84,8.94,4.4,2.36
2025-07-24T16:00:00+02:00,89.49,4.16,3.53,2.06
2025-07-24T17:00:00+02:00,92.68,2.53,3.09,2.11
2025-07-24T18:00:00+02:00,90.3,6.52,3.11,2.34
2025-07-24T19:00:00+02:00,89.36,7.52,3.1,2.32
2025-07-24T20:00:00+02:00,86.74,5.23,4.16,2.58
2025-07-24T21:00:00+02:00,54.57,11.93,4.82,3.15
2025-07-24T22:00:00+02:00,51.2,6.43,5.7,3.39
2025-07-24T23:00:00+02:00,48.44,4.4,5.43,3.5
2025-07-25T00:00:00+02:00,55.86,2.62,5.54,3.23
2025-07-25T01:00:00+02:00,70.97,1.14,4.39,2.58
2025-07-25T02:00:00+02:00,,1.66,3.72,2.1
2025-07-25T03:00:00+02:00,68.91,2.31,3.51,2.11
