startZeit,no2,o3,pm10,pm25
2026-04-27T00:00:00+02:00,12.37,52.95,9.49,5.02
2026-04-27T01:00:00+02:00,11.83,49.75,9.0,5.13
2026-04-27T02:00:00+02:00,9.13,,8.58,4.98
2026-04-27T03:00:00+02:00,8.68,47.69,8.53,4.65
2026-04-27T04:00:00+02:00,9.02,44.19,7.52,4.52
2026-04-27T05:00:00+02:00,,38.36,8.26,4.81
2026-04-27T06:00:00+02:00,24.99,27.56,11.91,5.73
2026-04-27T07:00:00+02:00,32.98,26.53,13.78,6.59
2026-04-27T08:00:00+02:00,20.7,47.09,15.01,6.71
2026-04-27T09:00:00+02:00,17.06,58.7,20.28,7.64
2026-04-27T10:00:00+02:00,13.08,75.1,32.46,8.66
2026-04-27T11:00:00+02:00,18.45,75.96,28.21,8.72
2026-04-27T12:00:00+02:00,8.97,88.09,26.66,9.47
2026-04-27T13:00:00+02:00,13.63,101.42,26.75,7.51
2026-04-27T14:00:00+02:00,16.22,101.87,33.02,6.21
2026-04-27T15:00:00+02:00,6.07,109.83,33.72,5.73
2026-04-27T16:00:00+02:00,4.51,114.22,15.28,3.82
2026-04-27T17:00:00+02:00,5.52,114.22,18.25,4.4
2026-04-27T18:00:00+02:00,18.39,101.61,16.42,4.31
2026-04-27T19:00:00+02:00,15.96,98.66,16.56,4.53
2026-04-27T20:00:00+02:00,11.54,97.71,21.68,5.62
2026-04-27T21:00:00+02:00,12.26,91.28,16.76,5.0
2026-04-27T22:00:00+02:00,14.53,87.93,18.36,5.17
2026-04-27T23:00:00+02:00,18.91,61.91,14.35,5.77
2026-04-28T00:00:00+02:00,21.14,55.98,12.5,5.61
2026-04-28T01:00:00+02:00,13.58,61.24,12.34,5.56
2026-04-28T02:00:00+02:00,9.96,57.25,12.14,5.5
2026-04-28T03:00:00+02:00,13.06,,11.22,5.58
2026-04-28T04:00:00+02:00,16.1,47.99,11.6,5.72
2026-04-28T05:00:00+02:00,15.73,48.22,12.35,5.8
2026-04-28T06:00:00+02:00,24.48,37.44,16.02,7.0
2026-04-28T07:00:00+02:00,30.39,37.62,19.08,7.7
2026-04-28T08:00:00+02:00,29.94,45.63,25.63,8.45
2026-04-28T09:00:00+02:00,13.87,72.65,20.28,7.08
2026-04-28T10:00:00+02:00,9.14,82.11,51.8,10.58
2026-04-28T11:00:00+02:00,7.55,86.09,19.82,7.81
2026-04-28T12:00:00+02:00,8.47,94.15,36.33,9.74
2026-04-28T13:00:00+02:00,5.72,109.78,41.35,10.02
2026-04-28T14:00:00+02:00,8.51,114.06,42.29,9.7
2026-04-28T15:00:00+02:00,7.27,116.85,37.61,7.88
2026-04-28T16:00:00+02:00,6.28,116.52,25.58,6.39
2026-04-28T17:00:00+02:00,6.36,111.73,26.23,6.49
2026-04-28T18:00:00+02:00,5.84,111.89,26.45,6.03
2026-04-28T19:00:00+02:00,6.74,114.4,23.39,5.53
2026-04-28T20:00:00+02:00,4.42,115.34,23.56,5.18
2026-04-28T21:00:00+02:00,5.4,106.32,22.71,5.24
2026-04-28T22:00:00+02:00,5.84,105.02,22.5,5.43
2026-04-28T23:00:00+02:00,9.72,98.62,15.77,5.0
2026-04-29T00:00:00+02:00,4.68,98.56,15.32,4.73
2026-04-29T01:00:00+02:00,5.53,91.14,16.4,5.14
2026-04-29T02:00:00+02:00,6.99,86.57,16.64,4.82
2026-04-29T03:00:00+02:00,8.24,84.61,14.82,4.48
2026-04-29T04:00:00+02:00,3.93,,19.29,5.06
2026-04-29T05:00:00+02:00,4.73,84.55,17.3,5.08
2026-04-29T06:00:00+02:00,7.05,82.18,15.87,5.06
2026-04-29T07:00:00+02:00,11.89,76.34,34.22,6.78
2026-04-29T08:00:00+02:00,10.96,75.62,27.67,6.41
2026-04-29T09:00:00+02:00,9.87,75.57,25.99,6.39
2026-04-29T10:00:00+02:00,9.73,75.88,36.99,7.94
2026-04-29T11:00:00+02:00,6.51,85.15,25.18,7.37
2026-04-29T12:00:00+02:00,5.45,94.57,31.25,8.53
2026-04-29T13:00:00+02:00,,100.69,46.64,10.06
2026-04-29T14:00:00+02:00,7.02,108.19,102.29,14.23
2026-04-29T15:00:00+02:00,4.06,113.6,108.62,14.24
2026-04-29T16:00:00+02:00,4.1,112.98,59.56,9.35
2026-04-29T17:00:00+02:00,2.73,113.5,41.32,6.96
2026-04-29T18:00:00+02:00,4.99,110.7,31.1,5.8
2026-04-29T19:00:00+02:00,6.46,109.21,27.15,5.45
2026-04-29T20:00:00+02:00,4.84,108.86,23.54,5.06
2026-04-29T21:00:00+02:00,6.23,103.44,23.39,4.95
2026-04-29T22:00:00+02:00,4.38,102.34,46.18,6.99
2026-04-29T23:00:00+02:00,3.29,96.99,22.53,4.43
2026-04-30T00:00:00+02:00,2.45,93.84,17.12,4.05
2026-04-30T01:00:00+02:00,3.34,90.7,15.7,3.91
2026-04-30T02:00:00+02:00,,86.6,15.89,4.05
2026-04-30T03:00:00+02:00,3.5,82.92,18.84,4.51
2026-04-30T04:00:00+02:00,5.47,78.74,14.7,4.26
2026-04-30T05:00:00+02:00,5.99,,17.56,4.98
2026-04-30T06:00:00+02:00,7.47,74.01,16.14,5.2
2026-04-30T07:00:00+02:00,9.96,70.5,29.04,6.31
2026-04-30T08:00:00+02:00,8.73,72.57,29.59,6.09
2026-04-30T09:00:00+02:00,7.44,75.27,33.96,6.6
2026-04-30T10:00:00+02:00,5.57,81.45,50.18,8.0
2026-04-30T11:00:00+02:00,4.93,86.68,38.04,6.94
2026-04-30T12:00:00+02:00,4.17,90.15,49.49,8.53
2026-04-30T13:00:00+02:00,4.35,93.42,80.02,11.59
2026-04-30T14:00:00+02:00,3.76,98.86,120.51,14.67
2026-04-30T15:00:00+02:00,4.19,101.14,76.84,11.35
2026-04-30T16:00:00+02:00,4.11,104.33,49.93,8.09
2026-04-30T17:00:00+02:00,3.52,110.32,54.26,8.2
2026-04-30T18:00:00+02:00,4.05,108.51,46.85,7.51
2026-04-30T19:00:00+02:00,5.66,105.25,32.48,6.14
2026-04-30T20:00:00+02:00,5.27,103.42,30.56,5.87
2026-04-30T21:00:00+02:00,3.93,101.79,23.08,5.1
2026-04-30T22:00:00+02:00,4.81,98.71,19.5,4.77
2026-04-30T23:00:00+02:00,4.85,97.14,16.21,4.61
2026-05-01T00:00:00+02:00,9.01,90.32,15.16,4.86
2026-05-01T01:00:00+02:00,8.63,85.96,11.39,4.53
2026-05-01T02:00:00+02:00,11.21,70.01,13.31,6.31
2026-05-01T03:00:00+02:00,9.49,67.47,10.18,4.48
2026-05-01T04:00:00+02:00,10.5,60.1,9.31,4.38
2026-05-01T05:00:00+02:00,12.22,55.31,8.97,4.36
2026-05-01T06:00:00+02:00,15.41,50.68,8.46,4.31
2026-05-01T07:00:00+02:00,13.61,57.34,11.16,4.95
2026-05-01T08:00:00+02:00,6.2,77.93,10.47,5.22
2026-05-01T09:00:00+02:00,5.91,84.08,11.16,5.12
2026-05-01T10:00:00+02:00,4.62,87.43,14.18,5.53
2026-05-01T11:00:00+02:00,5.59,89.24,15.12,5.99
2026-05-01T12:00:00+02:00,6.85,91.61,15.14,6.4
2026-05-01T13:00:00+02:00,5.23,98.21,14.96,5.92
2026-05-01T14:00:00+02:00,7.31,103.23,15.54,5.88
2026-05-01T15:00:00+02:00,6.92,111.48,13.81,5.02
2026-05-01T16:00:00+02:00,3.34,119.91,13.77,4.59
2026-05-01T17:00:00+02:00,3.87,122.12,17.18,4.62
2026-05-01T18:00:00+02:00,4.51,121.9,17.25,4.43
2026-05-01T19:00:00+02:00,4.7,119.32,17.28,4.06
2026-05-01T20:00:00+02:00,12.99,92.83,44.38,8.85
2026-05-01T21:00:00+02:00,33.17,45.38,24.02,11.86
2026-05-01T22:00:00+02:00,37.76,39.07,21.38,8.26
2026-05-01T23:00:00+02:00,25.91,48.79,16.93,7.55
2026-05-02T00:00:00+02:00,17.2,55.6,11.07,5.02
2026-05-02T01:00:00+02:00,14.5,54.22,11.73,4.29
2026-05-02T02:00:00+02:00,12.07,,10.07,3.95
2026-05-02T03:00:00+02:00,12.56,48.82,9.7,4.2
2026-05-02T04:00:00+02:00,11.92,46.09,8.28,3.85
2026-05-02T05:00:00+02:00,13.54,40.5,9.06,4.18
2026-05-02T06:00:00+02:00,15.2,37.67,9.68,4.55
2026-05-02T07:00:00+02:00,16.19,44.71,10.88,4.74
2026-05-02T08:00:00+02:00,11.99,58.28,10.98,4.72
2026-05-02T09:00:00+02:00,12.09,64.27,12.13,4.86
2026-05-02T10:00:00+02:00,11.16,74.64,15.01,5.99
2026-05-02T11:00:00+02:00,10.54,88.57,17.26,6.83
2026-05-02T12:00:00+02:00,8.8,101.62,18.31,7.81
2026-05-02T13:00:00+02:00,10.95,110.53,23.54,9.22
2026-05-02T14:00:00+02:00,13.26,118.54,31.85,9.69
2026-05-02T15:00:00+02:00,25.31,113.5,26.13,8.89
2026-05-02T16:00:00+02:00,7.49,134.49,20.08,6.23
2026-05-02T17:00:00+02:00,14.53,122.92,19.92,6.03
2026-05-02T18:00:00+02:00,13.11,119.01,36.24,7.59
2026-05-02T19:00:00+02:00,14.98,117.38,35.15,7.48
2026-05-02T20:00:00+02:00,29.41,97.04,19.52,6.92
2026-05-02T21:00:00+02:00,50.52,59.28,23.16,9.28
2026-05-02T22:00:00+02:00,52.3,36.46,31.05,16.15
2026-05-02T23:00:00+02:00,56.56,20.7,27.93,16.06
2026-05-03T00:00:00+02:00,21.26,47.74,22.59,12.03
2026-05-03T01:00:00+02:00,12.69,59.83,17.14,9.86
2026-05-03T02:00:00+02:00,12.7,55.11,17.49,9.22
2026-05-03T03:00:00+02:00,,34.25,15.54,9.86
2026-05-03T04:00:00+02:00,27.21,21.66,16.33,10.78
2026-05-03T05:00:00+02:00,22.01,31.8,16.45,10.46
2026-05-03T06:00:00+02:00,26.82,28.76,20.48,10.58
2026-05-03T07:00:00+02:00,20.23,38.91,17.36,10.71
2026-05-03T08:00:00+02:00,16.81,38.55,20.52,12.19
2026-05-03T09:00:00+02:00,11.35,53.58,19.84,12.55
2026-05-03T10:00:00+02:00,7.29,76.13,19.99,11.9
2026-05-03T11:00:00+02:00,10.41,87.1,20.04,11.87
2026-05-03T12:00:00+02:00,7.12,103.56,19.34,9.67
2026-05-03T13:00:00+02:00,5.84,109.13,16.93,8.55
2026-05-03T14:00:00+02:00,12.09,111.38,24.94,10.33
2026-05-03T15:00:00+02:00,13.4,108.81,18.04,7.63
2026-05-03T16:00:00+02:00,2.47,111.44,11.69,5.53
2026-05-03T17:00:00+02:00,2.66,111.58,12.88,5.57
2026-05-03T18:00:00+02:00,3.25,105.17,36.87,8.11
2026-05-03T19:00:00+02:00,1.78,93.56,53.37,8.39
2026-05-03T20:00:00+02:00,1.3,95.51,22.75,5.28
2026-05-03T21:00:00+02:00,2.33,88.93,16.61,4.98
2026-05-03T22:00:00+02:00,1.52,88.63,14.41,4.92
2026-05-03T23:00:00+02:00,2.7,83.59,13.86,4.93
