startZeit,o3,no2,pm10,pm25
2025-09-08T00:00:00+02:00,13.49,20.32,8.56,6.6
2025-09-08T01:00:00+02:00,11.79,17.1,8.67,6.45
2025-09-08T02:00:00+02:00,10.81,14.42,7.49,5.27
2025-09-08T03:00:00+02:00,,13.97,7.38,5.11
2025-09-08T04:00:00+02:00,3.26,17.02,11.12,7.59
2025-09-08T05:00:00+02:00,3.48,17.23,11.12,8.21
2025-09-08T06:00:00+02:00,4.26,16.29,11.31,8.06
2025-09-08T07:00:00+02:00,13.84,12.61,13.72,9.43
2025-09-08T08:00:00+02:00,17.6,13.39,11.36,8.58
2025-09-08T09:00:00+02:00,18.15,14.0,12.64,8.43
2025-09-08T10:00:00+02:00,28.11,11.5,10.73,7.51
2025-09-08T11:00:00+02:00,27.55,16.53,11.86,8.3
2025-09-08T12:00:00+02:00,33.03,16.5,12.72,9.06
2025-09-08T13:00:00+02:00,53.13,9.21,12.21,7.37
2025-09-08T14:00:00+02:00,64.28,7.1,12.74,6.74
2025-09-08T15:00:00+02:00,69.73,5.21,10.56,5.82
2025-09-08T16:00:00+02:00,71.45,5.12,9.77,5.53
2025-09-08T17:00:00+02:00,75.95,6.92,8.26,4.44
2025-09-08T18:00:00+02:00,71.86,10.56,8.14,4.18
2025-09-08T19:00:00+02:00,61.8,15.14,8.97,4.74
2025-09-08T20:00:00+02:00,56.39,11.04,10.03,5.27
2025-09-08T21:00:00+02:00,41.25,16.31,8.76,5.2
2025-09-08T22:00:00+02:00,38.54,13.48,8.4,5.4
2025-09-08T23:00:00+02:00,28.37,15.19,9.02,5.43
2025-09-09T00:00:00+02:00,26.45,11.76,8.56,5.37
2025-09-09T01:00:00+02:00,14.93,18.32,10.44,6.42
2025-09-09T02:00:00+02:00,19.46,8.44,9.56,5.85
2025-09-09T03:00:00+02:00,26.66,,10.26,6.63
2025-09-09T04:00:00+02:00,,6.57,10.41,7.45
2025-09-09T05:00:00+02:00,20.42,9.5,11.06,8.79
2025-09-09T06:00:00+02:00,24.75,9.33,12.79,9.53
2025-09-09T07:00:00+02:00,26.13,10.11,11.38,8.2
2025-09-09T08:00:00+02:00,57.87,5.53,3.09,1.46
2025-09-09T09:00:00+02:00,66.41,4.95,2.32,0.88
2025-09-09T10:00:00+02:00,71.6,4.2,2.02,0.95
2025-09-09T11:00:00+02:00,74.8,3.08,2.7,1.02
2025-09-09T12:00:00+02:00,72.87,2.89,2.48,1.1
2025-09-09T13:00:00+02:00,73.82,2.7,3.2,1.25
2025-09-09T14:00:00+02:00,72.47,2.65,3.15,1.34
2025-09-09T15:00:00+02:00,74.13,3.62,3.99,1.36
2025-09-09T16:00:00+02:00,78.81,3.34,2.59,0.99
2025-09-09T17:00:00+02:00,79.62,3.47,2.3,1.0
2025-09-09T18:00:00+02:00,77.38,8.14,2.55,1.07
2025-09-09T19:00:00+02:00,78.3,5.89,2.8,1.33
2025-09-09T20:00:00+02:00,62.79,12.6,3.86,2.01
2025-09-09T21:00:00+02:00,33.57,23.25,6.17,3.85
2025-09-09T22:00:00+02:00,24.85,19.06,5.85,3.88
2025-09-09T23:00:00+02:00,16.57,19.29,5.52,3.59
2025-09-10T00:00:00+02:00,21.53,13.7,5.58,2.8
2025-09-10T01:00:00+02:00,20.44,12.34,6.03,2.75
2025-09-10T02:00:00+02:00,19.95,7.81,6.01,2.68
2025-09-10T03:00:00+02:00,16.95,10.21,5.42,2.71
2025-09-10T04:00:00+02:00,19.27,8.21,4.93,2.61
2025-09-10T05:00:00+02:00,,9.47,5.47,2.87
2025-09-10T06:00:00+02:00,27.41,8.02,6.56,3.3
2025-09-10T07:00:00+02:00,19.18,20.17,6.18,3.73
2025-09-10T08:00:00+02:00,19.38,20.62,36.47,7.61
2025-09-10T09:00:00+02:00,24.97,18.77,21.35,5.23
2025-09-10T10:00:00+02:00,34.28,13.32,4.83,2.5
2025-09-10T11:00:00+02:00,34.27,10.39,7.15,3.29
2025-09-10T12:00:00+02:00,41.14,8.75,19.32,4.76
2025-09-10T13:00:00+02:00,52.91,5.92,4.19,2.45
2025-09-10T14:00:00+02:00,58.81,5.45,4.43,2.44
2025-09-10T15:00:00+02:00,62.74,8.03,4.62,2.37
2025-09-10T16:00:00+02:00,68.39,6.91,6.93,2.57
2025-09-10T17:00:00+02:00,72.95,5.24,4.04,2.17
2025-09-10T18:00:00+02:00,65.2,14.36,3.68,2.24
2025-09-10T19:00:00+02:00,64.07,9.1,4.66,2.83
2025-09-10T20:00:00+02:00,33.45,18.2,6.43,4.48
2025-09-10T21:00:00+02:00,20.14,18.63,7.54,5.06
2025-09-10T22:00:00+02:00,13.88,19.35,7.13,4.89
2025-09-10T23:00:00+02:00,12.72,16.02,7.69,5.19
