startZeit,o3,no2,pm10,pm25
2025-07-28T00:00:00+02:00,62.04,0.45,2.6,1.38
2025-07-28T01:00:00+02:00,61.91,0.75,2.47,1.46
2025-07-28T02:00:00+02:00,61.21,0.94,2.94,1.34
2025-07-28T03:00:00+02:00,49.36,1.39,3.63,1.7
2025-07-28T04:00:00+02:00,50.76,1.04,3.86,2.24
2025-07-28T05:00:00+02:00,,1.71,3.74,2.12
2025-07-28T06:00:00+02:00,51.76,3.15,3.29,1.85
2025-07-28T07:00:00+02:00,52.82,5.2,3.33,1.94
2025-07-28T08:00:00+02:00,49.19,7.46,3.62,1.95
2025-07-28T09:00:00+02:00,57.45,4.08,3.52,2.01
2025-07-28T10:00:00+02:00,55.66,6.96,3.58,1.97
2025-07-28T11:00:00+02:00,58.37,4.7,4.0,2.18
2025-07-28T12:00:00+02:00,57.11,4.75,3.42,2.09
2025-07-28T13:00:00+02:00,54.65,7.07,3.79,2.11
2025-07-28T14:00:00+02:00,63.54,4.75,4.08,2.41
2025-07-28T15:00:00+02:00,63.93,3.51,3.96,2.68
2025-07-28T16:00:00+02:00,63.66,4.21,4.77,3.48
2025-07-28T17:00:00+02:00,58.73,5.96,4.96,3.72
2025-07-28T18:00:00+02:00,55.73,5.01,5.92,4.53
2025-07-28T19:00:00+02:00,52.43,3.38,4.71,3.52
2025-07-28T20:00:00+02:00,47.94,4.34,5.31,3.58
2025-07-28T21:00:00+02:00,39.01,6.11,7.2,4.91
2025-07-28T22:00:00+02:00,39.36,4.43,8.65,6.05
2025-07-28T23:00:00+02:00,40.7,4.5,9.11,6.38
2025-07-29T00:00:00+02:00,42.84,3.33,9.18,6.64
2025-07-29T01:00:00+02:00,42.25,2.6,9.25,6.61
2025-07-29T02:00:00+02:00,,,7.65,5.85
2025-07-29T03:00:00+02:00,35.94,4.69,8.65,6.24
2025-07-29T04:00:00+02:00,39.26,2.94,8.24,5.56
2025-07-29T05:00:00+02:00,34.7,4.15,8.17,5.76
2025-07-29T06:00:00+02:00,29.92,6.74,8.2,6.26
2025-07-29T07:00:00+02:00,27.82,8.08,10.03,7.14
2025-07-29T08:00:00+02:00,33.57,7.95,9.86,6.88
2025-07-29T09:00:00+02:00,41.21,5.12,9.41,6.67
2025-07-29T10:00:00+02:00,44.35,5.73,9.56,7.17
2025-07-29T11:00:00+02:00,60.81,3.86,8.14,5.94
2025-07-29T12:00:00+02:00,69.4,3.71,6.64,4.98
2025-07-29T13:00:00+02:00,75.49,1.84,6.41,4.57
2025-07-29T14:00:00+02:00,70.18,2.28,6.91,5.14
2025-07-29T15:00:00+02:00,77.44,1.84,7.62,5.21
2025-07-29T16:00:00+02:00,76.96,2.57,7.16,5.09
2025-07-29T17:00:00+02:00,81.77,3.03,6.98,5.02
2025-07-29T18:00:00+02:00,75.73,4.13,7.46,5.14
2025-07-29T19:00:00+02:00,68.57,4.4,6.33,4.57
2025-07-29T20:00:00+02:00,73.12,5.45,5.84,4.24
2025-07-29T21:00:00+02:00,71.99,4.56,4.93,4.12
