start,end,o3_mean,o3_median,o3_min,o3_max,no2_mean,no2_median,no2_min,no2_max,pm10_mean,pm10_median,pm10_min,pm10_max,pm25_mean,pm25_median,pm25_min,pm25_max
2008-01-01,2008-12-31,43.82270489844683,42.974999999999994,0.0,158.07,20.368177586824203,16.36,0.09,135.26,19.91882879779538,16.32,0.62,1323.33,,,,
2009-01-01,2009-12-31,45.217257060794644,42.81,0.0,166.11,21.26578878281623,17.52,0.24,93.7,19.909883640552998,16.64,0.14,232.14,,,,
2010-01-01,2010-12-31,47.424217621569575,45.015,0.02,197.09,22.591362653208364,19.02,0.02,108.1,23.90088137153377,19.54,0.79,328.93,,,,
2011-01-01,2011-12-31,46.026416226596254,43.47,0.0,169.89,20.435353753753756,17.0,0.0,109.3,20.28801242236025,17.244999999999997,1.39,136.4,,,,
2012-01-01,2012-12-31,48.34922082585278,47.16,0.15,169.2,22.310596747189667,18.96,0.23,106.29,19.421518306636155,16.45,0.0,106.84,,,,
2013-01-01,2013-12-31,47.99977471377569,46.32,0.01,160.07,21.507596407185627,18.4,0.01,93.24,18.583960690206833,15.37,-0.33,745.31,,,,
2014-01-01,2014-12-31,44.95257262905162,42.575,0.0,161.15,22.085224409930294,19.11,0.36,105.47,16.694406897349843,13.92,0.5,508.48,13.248854422604422,12.875,0.43,76.09
2015-01-01,2015-12-31,48.47694161371538,47.45,0.0,203.17,23.073997903808085,19.44,0.35,119.28,18.892731282784933,16.835,0.32,321.0,14.744080562507449,12.62,0.26,272.73
2016-01-01,2016-12-31,47.58017439082656,46.144999999999996,0.0,154.07,20.340244666048235,16.884999999999998,0.0,107.37,14.623307893837568,12.63,0.34,432.45,11.423181818181819,9.22,0.19,118.36
2017-01-01,2017-12-31,48.83862792380034,47.9,0.27,167.92,21.074078159840393,17.19,2.03,110.9,15.2248468094909,12.21,0.73,182.86,11.463640133625159,8.55,0.32,158.99
2018-01-01,2018-12-31,55.258913408491246,52.980000000000004,0.0,180.28,19.64664953871307,16.6,0.66,104.85,17.659001601097895,15.515,0.32,243.01,12.946891582799633,10.75,0.17,112.53
2019-01-01,2019-12-31,51.774257307139436,50.644999999999996,0.0,187.62,19.035646456418014,15.4,0.36,100.78,15.290834860284013,12.4,0.53,422.03,11.01511934817535,8.4,0.35,183.0
2020-01-01,2020-12-31,51.19273808094152,50.23,0.0,153.56,17.216895591647333,13.84,1.25,72.45,12.124409945004583,10.375,0.27,89.92,8.098952795600367,6.4,0.13,38.67
2021-01-01,2021-12-31,49.95224655894674,49.48,-0.55,170.5,15.957015341701535,12.975000000000001,0.15,79.38,12.07188636103807,9.91,0.27,121.34,7.978660112038413,6.48,0.21,61.02
2022-01-01,2022-12-31,52.43341061185469,51.855000000000004,0.0,164.66,15.128989640321265,11.71,0.22,90.45,11.426351615499597,9.51,0.25,121.84,8.797328964010578,6.71,0.15,126.23
2023-01-01,2023-12-31,59.25755592774255,59.36,0.0,171.33,13.411490972626673,10.48,0.07,82.92,11.354538698982507,9.63,0.45,246.56,7.397966159826226,5.97,0.15,208.31
2024-01-01,2024-12-31,49.63079036144578,49.77,0.02,145.53,13.595547116069309,11.27,0.0,92.54,9.801881720430108,7.78,0.41,265.35,6.3444063143445435,4.93,0.21,77.19
