Station,Datum,stunde,Temperatur_Celsius,Windrichtung_Grad,Windgeschwindigkeit_Durchschnitt_kmh
Bodanplatz,2024-08-11,0,23.9,240.0,0.3
Bodanplatz,2024-08-11,1,22.35,344.5,0.8
Bodanplatz,2024-08-11,2,21.95,338.0,0.75
Bodanplatz,2024-08-11,3,21.65,346.0,0.8
Bodanplatz,2024-08-11,4,21.05,345.0,0.65
Bodanplatz,2024-08-11,5,20.2,348.0,0.85
Bodanplatz,2024-08-11,6,19.8,346.0,0.7
Bodanplatz,2024-08-11,7,20.05,353.5,0.6
Bodanplatz,2024-08-11,8,21.7,343.0,0.65
Bodanplatz,2024-08-11,9,23.7,137.0,1.0
Bodanplatz,2024-08-11,10,24.7,198.0,1.2
Bodanplatz,2024-08-11,11,26.9,175.0,1.4
Bodanplatz,2024-08-11,12,28.15,132.0,1.35
Bodanplatz,2024-08-11,13,29.4,158.0,0.7
Bodanplatz,2024-08-11,14,30.45,147.5,1.1
Bodanplatz,2024-08-11,15,31.5,156.0,1.15
Bodanplatz,2024-08-11,16,31.85,191.0,1.35
Bodanplatz,2024-08-11,17,32.1,174.5,1.2
Bodanplatz,2024-08-11,18,31.6,193.0,0.9
Bodanplatz,2024-08-11,19,31.35,141.5,0.5
Bodanplatz,2024-08-11,20,30.5,128.0,0.4
Bodanplatz,2024-08-11,21,28.75,185.5,0.5
Bodanplatz,2024-08-11,22,27.3,338.0,1.1
Bodanplatz,2024-08-11,23,26.1,336.0,0.7
Döbele,2024-08-11,0,22.9,263.0,0.6
Döbele,2024-08-11,1,21.3,202.0,0.2
Döbele,2024-08-11,2,20.5,213.0,0.2
Döbele,2024-08-11,3,20.25,217.5,0.2
Döbele,2024-08-11,4,19.6,177.0,0.1
Döbele,2024-08-11,5,18.7,302.0,0.2
Döbele,2024-08-11,6,18.25,195.5,0.1
Döbele,2024-08-11,7,18.8,157.0,0.15
Döbele,2024-08-11,8,20.65,282.5,0.6
