,Jahr,Anzahl_heisser_Tage
0,1973,3
1,1974,2
2,1975,4
3,1976,14
4,1977,1
5,1978,2
6,1979,1
7,1980,5
8,1981,3
9,1982,8
10,1983,18
11,1984,5
12,1985,4
13,1986,6
14,1987,4
15,1988,6
16,1989,4
17,1990,9
18,1991,10
19,1992,19
20,1993,3
21,1994,21
22,1995,14
23,1996,4
24,1997,3
25,1998,14
26,1999,6
27,2000,9
28,2001,12
29,2002,10
30,2003,36
31,2004,9
32,2005,15
33,2006,25
34,2007,8
35,2008,9
36,2009,8
37,2010,13
38,2011,11
39,2012,10
40,2013,20
41,2014,8
42,2015,34
43,2016,13
44,2017,17
45,2018,27
46,2019,23
