system:index,asphalt_%,baeume_%,gebaeude_%,gruen_%,kies_%,lat,lon,name,wasser_%,.geo
0,86,21,1,13,0.0,47.65823856,9.16889836,Döbele,0.0,"{""type"":""Point"",""coordinates"":[9.16889836,47.65823856]}"
1,23,7.5,0.0,77,0.0,47.66721463,9.16282324,Europapark,0.0,"{""type"":""Point"",""coordinates"":[9.162823239999998,47.66721463]}"
2,68,20,5,17,10,47.68211852,9.20933772,Fähre Staad,0.0,"{""type"":""Point"",""coordinates"":[9.20933772,47.68211852]}"
3,52,27,13,32,3,47.67557538,9.18375494,Friedrichstrasse,0.0,"{""type"":""Point"",""coordinates"":[9.183754940000002,47.67557538]}"
4,11,34,6,53,8,47.66905485,9.17457428,Herose-Park,22.34960236945282,"{""type"":""Point"",""coordinates"":[9.174574279999998,47.66905485]}"
5,20,22,15,25,40,47.66702444,9.21448949,Hörnle,0.0,"{""type"":""Point"",""coordinates"":[9.21448949,47.66702444]}"
6,46,25,2,52,0.0,47.67050958,9.1877523,Mainaustrasse,0.0,"{""type"":""Point"",""coordinates"":[9.1877523,47.67050958]}"
7,55,1,35,5,5,47.6604731,9.17723865,Marktstätte,0.0,"{""type"":""Point"",""coordinates"":[9.17723865,47.660473100000004]}"
8,43,10,5,52,0.0,47.6819759,9.14705786,Riedstrasse,0.0,"{""type"":""Point"",""coordinates"":[9.14705786,47.6819759]}"
9,2,35,3,50,45,47.66241869,9.17889136,Stadtgarten,0.0,"{""type"":""Point"",""coordinates"":[9.178891359999996,47.66241869]}"
10,50,4,48,2,0.0,47.66186644,9.17386062,Stephansplatz,0.0,"{""type"":""Point"",""coordinates"":[9.17386062,47.661866440000004]}"
11,52,2,47,1,0.0,47.657981834,9.17425632,Bodanplatz,0.0,"{""type"":""Point"",""coordinates"":[9.17425632,47.657981834000005]}"
