startZeit,o3,no2,pm10,pm25
2025-09-01T00:00:00+02:00,27.52,11.14,4.85,2.36
2025-09-01T01:00:00+02:00,25.05,10.95,4.06,2.34
2025-09-01T02:00:00+02:00,23.95,8.41,4.13,2.08
2025-09-01T03:00:00+02:00,21.4,,4.65,2.19
2025-09-01T04:00:00+02:00,,7.78,4.65,2.11
2025-09-01T05:00:00+02:00,44.12,3.44,3.77,1.54
2025-09-01T06:00:00+02:00,48.88,4.45,4.71,1.65
2025-09-01T07:00:00+02:00,57.58,6.11,3.21,1.22
2025-09-01T08:00:00+02:00,64.17,5.37,2.53,0.67
2025-09-01T09:00:00+02:00,67.36,3.7,3.12,0.71
2025-09-01T10:00:00+02:00,63.02,5.67,3.41,0.84
2025-09-01T11:00:00+02:00,64.1,5.41,3.8,0.87
2025-09-01T12:00:00+02:00,67.9,3.95,3.08,0.82
2025-09-01T13:00:00+02:00,77.38,2.82,2.2,0.66
2025-09-01T14:00:00+02:00,79.68,1.84,2.21,0.62
2025-09-01T15:00:00+02:00,76.99,3.38,3.18,1.04
2025-09-01T16:00:00+02:00,75.29,5.59,4.64,1.61
2025-09-01T17:00:00+02:00,67.35,9.33,5.72,1.64
2025-09-01T18:00:00+02:00,56.22,16.46,4.11,1.43
2025-09-01T19:00:00+02:00,49.12,11.23,5.46,1.83
2025-09-01T20:00:00+02:00,48.51,8.45,5.7,1.93
2025-09-01T21:00:00+02:00,63.18,3.5,5.25,2.23
2025-09-01T22:00:00+02:00,77.73,0.9,2.58,0.99
2025-09-01T23:00:00+02:00,68.95,1.92,2.03,1.03
2025-09-02T00:00:00+02:00,64.72,1.73,1.64,0.9
2025-09-02T01:00:00+02:00,52.72,3.14,2.17,0.96
2025-09-02T02:00:00+02:00,42.71,5.08,2.58,1.02
2025-09-02T03:00:00+02:00,45.5,3.21,2.08,1.02
2025-09-02T04:00:00+02:00,48.09,3.02,2.85,1.15
2025-09-02T05:00:00+02:00,,3.3,2.57,1.08
2025-09-02T06:00:00+02:00,41.44,6.64,2.85,1.29
2025-09-02T07:00:00+02:00,37.39,11.29,3.88,1.58
2025-09-02T08:00:00+02:00,38.05,12.76,5.29,1.93
2025-09-02T09:00:00+02:00,45.68,9.02,4.3,1.77
2025-09-02T10:00:00+02:00,51.86,5.6,5.23,1.99
2025-09-02T11:00:00+02:00,57.0,3.97,4.39,1.89
2025-09-02T12:00:00+02:00,60.3,4.59,4.34,1.72
2025-09-02T13:00:00+02:00,60.96,2.28,4.02,1.74
2025-09-02T14:00:00+02:00,65.82,1.52,3.25,1.46
2025-09-02T15:00:00+02:00,67.33,2.71,3.57,1.64
2025-09-02T16:00:00+02:00,68.22,4.36,4.0,1.73
2025-09-02T17:00:00+02:00,73.01,2.73,4.26,1.7
2025-09-02T18:00:00+02:00,70.12,4.54,4.0,1.77
2025-09-02T19:00:00+02:00,61.84,7.85,4.76,2.2
2025-09-02T20:00:00+02:00,47.39,11.53,4.67,2.78
2025-09-02T21:00:00+02:00,40.01,11.33,5.38,3.23
2025-09-02T22:00:00+02:00,36.92,12.95,4.81,2.87
2025-09-02T23:00:00+02:00,39.4,8.31,4.63,2.8
2025-09-03T00:00:00+02:00,32.64,11.01,3.6,1.99
2025-09-03T01:00:00+02:00,32.3,8.84,3.3,1.79
2025-09-03T02:00:00+02:00,,12.71,3.7,1.69
2025-09-03T03:00:00+02:00,12.6,16.19,4.26,2.36
2025-09-03T04:00:00+02:00,23.6,,3.47,1.87
2025-09-03T05:00:00+02:00,33.38,9.33,3.42,1.67
2025-09-03T06:00:00+02:00,19.92,18.21,4.24,2.08
2025-09-03T07:00:00+02:00,9.64,29.12,6.38,3.04
2025-09-03T08:00:00+02:00,9.32,29.33,11.83,3.77
2025-09-03T09:00:00+02:00,35.46,12.65,6.2,2.36
2025-09-03T10:00:00+02:00,45.56,7.29,9.11,2.62
2025-09-03T11:00:00+02:00,55.33,4.79,10.77,3.1
2025-09-03T12:00:00+02:00,56.64,5.79,6.71,2.51
2025-09-03T13:00:00+02:00,57.68,4.92,7.47,2.72
2025-09-03T14:00:00+02:00,66.5,2.96,4.83,2.27
