startZeit,no2,o3,pm10,pm25
2025-10-27T00:00:00+01:00,3.0,55.34,1.51,0.94
2025-10-27T01:00:00+01:00,2.45,56.64,1.28,0.87
2025-10-27T02:00:00+01:00,,61.36,1.63,0.95
2025-10-27T03:00:00+01:00,1.79,,1.74,0.95
2025-10-27T04:00:00+01:00,1.38,61.75,1.84,0.98
2025-10-27T05:00:00+01:00,2.03,61.5,1.25,0.85
2025-10-27T06:00:00+01:00,4.98,58.58,1.41,0.97
2025-10-27T07:00:00+01:00,6.23,58.76,1.63,1.07
2025-10-27T08:00:00+01:00,5.52,63.13,1.47,0.74
2025-10-27T09:00:00+01:00,4.7,64.49,1.35,0.59
2025-10-27T10:00:00+01:00,4.22,64.85,1.2,0.5
2025-10-27T11:00:00+01:00,4.55,63.76,1.39,0.46
2025-10-27T12:00:00+01:00,4.92,61.45,1.19,0.51
2025-10-27T13:00:00+01:00,5.34,59.83,1.17,0.6
2025-10-27T14:00:00+01:00,5.12,59.92,1.03,0.49
2025-10-27T15:00:00+01:00,5.54,59.01,1.15,0.48
2025-10-27T16:00:00+01:00,6.58,55.03,1.4,0.57
2025-10-27T17:00:00+01:00,7.29,52.05,1.34,0.79
2025-10-27T18:00:00+01:00,5.05,60.71,1.61,0.98
2025-10-27T19:00:00+01:00,5.43,58.34,2.65,1.65
2025-10-27T20:00:00+01:00,5.21,56.24,3.93,2.48
2025-10-27T21:00:00+01:00,5.16,54.28,4.7,3.23
2025-10-27T22:00:00+01:00,5.23,52.33,4.89,3.14
2025-10-27T23:00:00+01:00,5.06,53.88,4.72,3.11
2025-10-28T00:00:00+01:00,3.16,59.37,4.59,3.0
2025-10-28T01:00:00+01:00,1.97,67.55,3.31,2.24
2025-10-28T02:00:00+01:00,2.25,60.41,3.85,2.57
2025-10-28T03:00:00+01:00,3.12,57.23,4.62,2.93
2025-10-28T04:00:00+01:00,3.9,,5.35,3.18
2025-10-28T05:00:00+01:00,4.92,52.04,4.69,2.97
2025-10-28T06:00:00+01:00,10.91,44.42,5.7,3.49
2025-10-28T07:00:00+01:00,19.49,31.71,5.67,3.64
2025-10-28T08:00:00+01:00,16.64,37.07,5.05,3.06
2025-10-28T09:00:00+01:00,10.29,47.45,4.3,2.66
2025-10-28T10:00:00+01:00,5.71,60.12,3.9,1.94
2025-10-28T11:00:00+01:00,6.22,61.7,3.64,1.62
2025-10-28T12:00:00+01:00,5.26,63.59,3.16,1.24
2025-10-28T13:00:00+01:00,4.28,64.0,3.35,1.25
2025-10-28T14:00:00+01:00,4.56,63.85,3.15,1.09
2025-10-28T15:00:00+01:00,6.14,60.77,3.85,1.36
2025-10-28T16:00:00+01:00,6.03,58.73,3.18,1.27
2025-10-28T17:00:00+01:00,6.42,58.67,3.5,1.2
2025-10-28T18:00:00+01:00,17.18,45.75,4.3,1.98
2025-10-28T19:00:00+01:00,9.03,57.0,3.02,1.88
2025-10-28T20:00:00+01:00,6.42,57.15,3.17,1.8
2025-10-28T21:00:00+01:00,8.28,53.85,3.98,2.42
2025-10-28T22:00:00+01:00,6.98,50.31,3.57,2.09
2025-10-28T23:00:00+01:00,9.44,40.59,3.68,2.41
2025-10-29T00:00:00+01:00,9.12,32.76,3.59,2.56
2025-10-29T01:00:00+01:00,24.55,,3.83,2.62
2025-10-29T02:00:00+01:00,29.39,11.35,3.77,2.39
2025-10-29T03:00:00+01:00,,12.09,3.87,2.53
2025-10-29T04:00:00+01:00,17.35,19.28,4.06,2.59
2025-10-29T05:00:00+01:00,28.63,5.79,4.06,2.65
2025-10-29T06:00:00+01:00,26.33,1.41,5.5,3.45
2025-10-29T07:00:00+01:00,20.32,4.9,6.98,4.43
2025-10-29T08:00:00+01:00,17.56,10.32,5.36,3.9
2025-10-29T09:00:00+01:00,15.67,13.8,7.61,4.72
2025-10-29T10:00:00+01:00,9.7,23.89,6.96,3.76
2025-10-29T11:00:00+01:00,8.35,29.71,8.08,5.59
2025-10-29T12:00:00+01:00,7.58,30.26,6.89,5.61
2025-10-29T13:00:00+01:00,8.9,29.73,7.28,5.82
2025-10-29T14:00:00+01:00,13.92,28.15,9.51,6.25
2025-10-29T15:00:00+01:00,12.14,34.55,9.67,6.0
2025-10-29T16:00:00+01:00,16.75,31.94,7.5,5.58
2025-10-29T17:00:00+01:00,26.01,18.46,13.33,9.75
2025-10-29T18:00:00+01:00,31.3,10.95,13.4,9.1
2025-10-29T19:00:00+01:00,34.0,3.55,12.78,8.93
2025-10-29T20:00:00+01:00,29.11,2.8,12.85,8.78
2025-10-29T21:00:00+01:00,24.59,2.53,11.27,7.86
2025-10-29T22:00:00+01:00,28.88,2.46,12.15,9.52
2025-10-29T23:00:00+01:00,21.46,8.81,10.17,7.82
2025-10-30T00:00:00+01:00,15.74,14.2,8.45,6.6
2025-10-30T01:00:00+01:00,16.78,21.49,6.88,5.52
2025-10-30T02:00:00+01:00,14.9,,7.07,5.28
2025-10-30T03:00:00+01:00,12.98,27.99,6.93,5.62
2025-10-30T04:00:00+01:00,14.26,25.09,7.48,6.3
2025-10-30T05:00:00+01:00,10.96,30.87,6.25,5.15
2025-10-30T06:00:00+01:00,7.61,44.68,3.38,2.77
2025-10-30T07:00:00+01:00,7.97,52.12,1.79,1.27
2025-10-30T08:00:00+01:00,10.38,48.8,2.86,1.22
2025-10-30T09:00:00+01:00,6.27,56.48,2.42,1.03
2025-10-30T10:00:00+01:00,4.61,66.53,3.24,0.99
2025-10-30T11:00:00+01:00,3.62,68.27,1.9,0.8
2025-10-30T12:00:00+01:00,3.55,71.9,2.18,0.73
2025-10-30T13:00:00+01:00,3.2,72.15,2.34,0.78
2025-10-30T14:00:00+01:00,6.64,64.4,2.84,1.21
2025-10-30T15:00:00+01:00,6.98,62.58,3.77,1.23
2025-10-30T16:00:00+01:00,14.47,53.45,4.88,1.98
2025-10-30T17:00:00+01:00,26.68,35.55,7.24,3.23
2025-10-30T18:00:00+01:00,49.4,6.33,8.64,5.29
2025-10-30T19:00:00+01:00,46.88,2.57,9.84,6.72
2025-10-30T20:00:00+01:00,37.33,2.14,14.44,10.94
