name,date,hour,atmosphericpressure,precipitation,relativehumidity,temperature,winddirection,windspeedavg,windspeedmax,windspeedmin,surfacetemperaturewintersense,temperaturewintersense,z_score
Bodanplatz,2024-04-11,0,,,,,,,,,,,
Bodanplatz,2024-04-11,1,,,,,,,,,,,
Bodanplatz,2024-04-11,2,,,,,,,,,,,
Bodanplatz,2024-04-11,3,,,,,,,,,,,
Bodanplatz,2024-04-11,4,,,,,,,,,,,
Bodanplatz,2024-04-11,5,983.8,0.89,52.8,,51.0,0.1,0.1,0.0,,,3.1311895554711846
Bodanplatz,2024-04-11,6,,,,,,,,,,,
Bodanplatz,2024-04-11,7,,,,,,,,,,,
Bodanplatz,2024-04-11,8,985.0,0.97,47.3,10.7,299.0,0.1,0.1,0.0,,,2.7318126631633413
Bodanplatz,2024-04-11,9,985.5,1.4,70.0,8.5,215.0,0.4,1.4,0.0,,,0.9760485931781703
Bodanplatz,2024-04-11,10,985.9,1.46,66.74,9.1,204.0,0.85,1.95,0.1,,,0.4129169451006457
Bodanplatz,2024-04-11,11,985.9,1.46,60.9,10.15,147.5,1.4,2.7,0.15,,,-0.1361529490429248
Bodanplatz,2024-04-11,12,985.9,1.46,57.0,11.1,199.0,1.3,2.4,0.6,,,-0.5836473259887669
Bodanplatz,2024-04-11,13,985.6,1.46,52.0,12.85,198.0,1.4,2.65,0.1,,,0.06306664038890174
Bodanplatz,2024-04-11,14,985.45,1.46,50.95,13.85,177.0,1.05,2.75,0.1,,,0.02878476715428579
Bodanplatz,2024-04-11,15,984.9,1.46,49.7,14.9,161.0,1.4,3.1,0.2,,,0.23836229710307105
Bodanplatz,2024-04-11,16,984.75,1.46,50.1,14.8,160.0,1.4,2.45,0.1,,,0.0030719129545424633
Bodanplatz,2024-04-11,17,984.45,1.46,47.95,15.15,136.5,1.95,3.3,0.2,,,0.14413354368304263
Bodanplatz,2024-04-11,18,984.3,1.46,48.3,15.4,130.0,0.8,1.7,0.1,,,0.29121475197868674
Bodanplatz,2024-04-11,19,984.3,1.46,56.0,14.1,159.0,0.7,1.4,0.2,,,0.05588948716002655
Bodanplatz,2024-04-11,20,984.65,1.46,56.75,13.9,199.0,0.4,0.7,0.2,,,1.008813215935396
Bodanplatz,2024-04-11,21,985.1,1.46,63.05,12.7,247.5,0.35,0.85,0.1,,,1.274537735517442
Bodanplatz,2024-04-11,22,985.15,1.46,68.5,11.55,186.5,0.5,0.75,0.25,,,1.5589809646133421
Bodanplatz,2024-04-11,23,985.15,1.46,73.1,10.6,181.0,0.5,0.7,0.1,,,1.1821636344729225
Bodanplatz,2024-04-12,0,985.15,1.46,75.29,10.1,257.0,0.5,0.9,0.2,,,1.450715410824092
Bodanplatz,2024-04-12,1,985.35,1.46,82.34,8.5,241.0,0.75,1.3,0.2,,,0.7572346104868343
Bodanplatz,2024-04-12,2,985.4,1.46,83.04,8.5,338.5,0.8,1.35,0.4,,,1.113172541905219
Bodanplatz,2024-04-12,3,985.5,1.46,84.54,7.65,315.0,0.45,1.0,0.05,,,0.8078024905747135
Bodanplatz,2024-04-12,4,985.6,1.46,85.39,7.3,332.0,0.8,1.4,0.3,,,0.8234629265649515
Bodanplatz,2024-04-12,5,985.75,1.46,87.24,6.9,325.5,0.35,0.65,0.05,,,1.0335187505098153
Bodanplatz,2024-04-12,6,985.8,1.46,87.7,6.8,339.5,0.3,0.8,0.1,,,1.115459363050286
Bodanplatz,2024-04-12,7,985.95,1.46,88.4,6.9,181.5,0.5,0.7,0.05,,,0.6393364524132379
Bodanplatz,2024-04-12,8,986.0,1.46,83.3,8.75,190.0,0.95,1.65,0.4,,,0.3321549254523083
Bodanplatz,2024-04-12,9,985.9,1.46,83.1,9.35,173.0,1.0,2.3,0.1,,,-0.3359910468742261
Bodanplatz,2024-04-12,10,986.15,1.46,77.59,10.65,177.0,1.5,2.25,0.2,,,-0.31246781596481654
Bodanplatz,2024-04-12,11,985.8,1.46,61.95,12.75,172.5,1.25,2.25,0.2,,,-0.022311799485067268
Bodanplatz,2024-04-12,12,985.4,1.46,59.1,13.9,167.0,1.3,2.5,0.1,,,-0.02689784038573524
Bodanplatz,2024-04-12,13,985.05,1.46,60.15,14.45,167.5,1.6,2.85,0.2,,,-0.3234346969530728
Bodanplatz,2024-04-12,14,984.4,1.46,46.2,17.9,143.0,1.4,2.6,0.2,,,0.44171282862762784
Bodanplatz,2024-04-12,15,983.9,1.46,45.3,18.5,186.0,1.6,2.4,0.4,,,0.08366759168046382
Bodanplatz,2024-04-12,16,983.0,1.46,47.5,19.0,193.0,1.2,1.9,0.1,,,0.14275559465108356
Bodanplatz,2024-04-12,17,982.65,1.46,49.45,18.25,164.5,1.1,2.1,0.25,,,-0.2947075731817376
Bodanplatz,2024-04-12,18,982.3,1.46,55.6,17.15,157.0,1.05,1.95,0.15,,,-0.24584114011551791
Bodanplatz,2024-04-12,19,982.2,1.46,68.3,15.4,186.5,1.05,1.95,0.15,,,-0.8284548839923679
Bodanplatz,2024-04-12,20,982.35,1.46,73.9,14.2,178.0,0.85,1.3,0.25,,,-0.7260542745856127
Bodanplatz,2024-04-12,21,982.9,1.46,73.95,14.0,178.0,0.7,0.95,0.25,,,0.3973382322792212
Bodanplatz,2024-04-12,22,983.05,1.46,74.5,13.35,162.0,0.5,0.8,0.1,,,1.002184173963061
Bodanplatz,2024-04-12,23,983.1,1.46,77.54,12.45,176.5,0.5,0.85,0.1,,,0.7633575123070716
Bodanplatz,2024-04-13,0,983.1,1.46,79.3,12.0,176.0,0.35,0.6,0.15,,,1.1971747507624273
Bodanplatz,2024-04-13,1,983.0,1.46,80.5,11.4,277.0,0.1,0.4,0.0,,,1.3540064007726613
Bodanplatz,2024-04-13,2,982.4,1.46,80.84,10.6,336.0,0.45,0.7,0.15,,,1.1913541610372198
Bodanplatz,2024-04-13,3,982.1,1.46,84.0,9.7,331.5,0.45,0.9,0.15,,,0.9117755466877201
Bodanplatz,2024-04-13,4,982.2,1.46,86.6,9.4,339.0,0.5,0.9,0.2,,,1.1318930357099533
Bodanplatz,2024-04-13,5,982.3,1.46,88.05,8.85,331.0,0.55,0.95,0.2,,,1.0948329580275502
Bodanplatz,2024-04-13,6,982.4,1.46,89.7,8.6,305.5,0.3,0.65,0.05,,,1.0733059508080114
Bodanplatz,2024-04-13,7,982.75,1.46,89.4,8.85,168.0,0.55,0.75,0.1,,,1.078441821534363
Bodanplatz,2024-04-13,8,982.9,1.46,83.39,10.5,337.0,0.6,1.2,0.2,,,0.07566499084579703
Bodanplatz,2024-04-13,9,982.55,1.46,74.19,12.4,179.5,1.3,1.8,0.5,,,0.44554714073422347
Bodanplatz,2024-04-13,10,982.45,1.46,71.9,12.55,178.5,1.4,2.2,0.65,,,-0.4566628534875126
Bodanplatz,2024-04-13,11,982.1,1.46,64.45,15.1,177.5,1.25,2.3,0.25,,,-0.03343127170266832
Bodanplatz,2024-04-13,12,981.4,1.46,55.7,17.3,179.5,1.3,2.0,0.15,,,0.06508119678229543
