system:index,abschattung_%,asphalt_%,baeume_%,gebaeude_%,gruen_%,kies_%,lat,lon,name,wasser_%,.geo
0,0.0,85.00799306783986,20.651426586449322,1.0666675169949758,12.339890715855734,0.0,47.65823856,9.16889836,Döbele,0.0,"{""type"":""Point"",""coordinates"":[9.16889836,47.65823856]}"
1,0.0,22.651488460325574,7.507868360476612,0.0,74.5381313624457,0.0,47.66721463,9.16282324,Europapark,0.0,"{""type"":""Point"",""coordinates"":[9.162823239999998,47.66721463]}"
2,0.0,66.07473784814128,19.997484516997734,5.297570244230038,16.166650627384605,8.29546658494856,47.68211852,9.20933772,Fähre Staad,0.0,"{""type"":""Point"",""coordinates"":[9.20933772,47.68211852]}"
3,0.0,51.979619244406905,26.585165834422103,11.523625020773578,31.934280480701926,0.6104948639971167,47.67557538,9.18375494,Friedrichstrasse,0.0,"{""type"":""Point"",""coordinates"":[9.183754940000002,47.67557538]}"
4,0.0,10.368060929422963,32.945322274871415,5.331945255441235,51.23328717072643,7.293316221981224,47.66905485,9.17457428,Herose-Park,22.34960236945282,"{""type"":""Point"",""coordinates"":[9.174574279999998,47.66905485]}"
5,0.0,18.629231805830702,21.003820108113437,14.703644853230175,22.945192653105753,38.829085427414775,47.66702444,9.21448949,Hörnle,0.0,"{""type"":""Point"",""coordinates"":[9.21448949,47.66702444]}"
6,0.0,43.79712956443185,25.266946901013842,2.357492706765427,50.48754579029217,0.0,47.67050958,9.1877523,Mainaustrasse,0.0,"{""type"":""Point"",""coordinates"":[9.1877523,47.67050958]}"
7,0.0,52.18220117902781,1.4139523272714252,35.39768798335666,4.717601020985998,4.653743419897433,47.6604731,9.17723865,Marktstätte,0.0,"{""type"":""Point"",""coordinates"":[9.17723865,47.660473100000004]}"
8,0.0,40.09458314988615,9.661276732196566,4.61306307275155,50.84347944523759,0.0,47.6819759,9.14705786,Riedstrasse,0.0,"{""type"":""Point"",""coordinates"":[9.14705786,47.6819759]}"
9,3.4753239594445797,1.4550654299290693,35.473494401779796,2.6750631585257802,49.52989578399679,45.354362619079474,47.66241869,9.17889136,Stadtgarten,0.0,"{""type"":""Point"",""coordinates"":[9.178891359999996,47.66241869]}"
10,0.0,49.66267803715172,3.7175279026765247,47.87466176637397,0.4288276925249244,0.0,47.66186644,9.17386062,Stephansplatz,0.0,"{""type"":""Point"",""coordinates"":[9.17386062,47.661866440000004]}"
11,0.0,51.589033294379036,1.8248667566800225,46.72855528857121,2.0072213859352925,0.0,47.657981834,9.17425632,Bodanplatz,0.0,"{""type"":""Point"",""coordinates"":[9.17425632,47.657981834000005]}"
